timestamp_ms,hostname,role,cpu_util,rm_rss_kb,nm_rss_kb,dn_rss_kb,nn_rss_kb,kafka_rss_kb,producer_rss_kb,nemo_rss_kb,reef_rss_kb,vmworker_rss_kb,rx_bytes,tx_bytes,disk_read_bytes,disk_write_bytes
1784155610635,node12,compute,0.0055,0,302268,0,0,0,0,0,1007744,0,7812456,2099034,253082112,18848420352
1784155611952,node12,compute,0.0060,0,302268,0,0,0,0,0,1007744,0,7812515,2099040,253082112,18848420352
1784155613277,node12,compute,0.0061,0,302268,0,0,0,0,0,1007744,0,7812614,2099044,253082112,18848424448
1784155614598,node12,compute,0.0060,0,302268,0,0,0,0,0,1007744,0,7812707,2099049,253082112,18848502272
1784155615873,node12,compute,0.0046,0,302268,0,0,0,0,0,1007744,0,7812747,2099053,253082112,18848555520
1784155617194,node12,compute,0.0059,0,302268,0,0,0,0,0,1007744,0,7812798,2099060,253082112,18848555520
1784155618510,node12,compute,0.0056,0,302268,0,0,0,0,0,1007744,0,7812850,2099063,253082112,18848608768
1784155619829,node12,compute,0.0060,0,302268,0,0,0,0,0,1007744,0,7812894,2099068,253082112,18848608768
1784155621147,node12,compute,0.0065,0,302268,0,0,0,0,0,1007744,0,7812941,2099074,253082112,18848641536
1784155622467,node12,compute,0.0062,0,302268,0,0,0,0,0,1007744,0,7812992,2099081,253082112,18848641536
1784155623782,node12,compute,0.0056,0,302268,0,0,0,0,0,1007744,0,7813047,2099086,253082112,18848756224
1784155625095,node12,compute,0.0054,0,302268,0,0,0,0,0,1007744,0,7813211,2099091,253082112,18848756224
1784155626415,node12,compute,0.0065,0,302268,0,0,0,0,0,1007792,0,7813251,2099095,253082112,18848801280
1784155627740,node12,compute,0.0061,0,302268,0,0,0,0,0,1007792,0,7813338,2099101,253082112,18848801280
1784155629060,node12,compute,0.0172,0,302268,0,0,0,0,0,1107684,0,7813902,2099457,253082112,18848866816
1784155630384,node12,compute,0.0974,0,302268,0,0,0,0,0,1160664,0,7814331,2099711,253082112,18848866816
1784155631714,node12,compute,0.0698,0,302268,0,0,0,0,0,1190744,0,7814550,2099804,253082112,18850648576
1784155633037,node12,compute,0.0383,0,302268,0,0,0,0,0,1322924,0,7814799,2099899,253082112,18850648576
1784155634363,node12,compute,0.0426,0,302268,0,0,0,0,0,1408952,0,7815124,2100078,253082112,18850718208
1784155635692,node12,compute,0.0145,0,302268,0,0,0,0,0,1488876,0,7815344,2100174,253082112,18850718208
1784155637010,node12,compute,0.0191,0,302268,0,0,0,0,0,1630972,0,7815570,2100292,253082112,18850783744
1784155638334,node12,compute,0.0413,0,302268,0,0,0,0,0,1797212,0,7815892,2100465,253082112,18850783744
1784155639665,node12,compute,0.0157,0,302268,0,0,0,0,0,1906060,0,7816068,2100553,253082112,18850787840
1784155640995,node12,compute,0.0238,0,302268,0,0,0,0,0,2044408,0,7816262,2100645,253082112,18850841088
1784155642314,node12,compute,0.0129,0,302268,0,0,0,0,0,2202744,0,7816549,2100816,253082112,18851602944
1784155643632,node12,compute,0.0094,0,302340,0,0,0,0,0,2299104,0,7816752,2100912,253082112,18851602944
1784155644954,node12,compute,0.0085,0,302340,0,0,0,0,0,2395848,0,7816936,2101000,253082112,18851607040
1784155646273,node12,compute,0.0104,0,302492,0,0,0,0,0,2524756,0,7817249,2101173,253082112,18851652096
1784155647593,node12,compute,0.0100,0,302492,0,0,0,0,0,2597092,0,7817448,2101268,253082112,18851779072
1784155648914,node12,compute,0.0085,0,302492,0,0,0,0,0,2677340,0,7817614,2101357,253082112,18851779072
1784155650237,node12,compute,0.0103,0,302492,0,0,0,0,0,2832956,0,7817950,2101531,253082112,18851787264
